Acumulado;Fecha acumulado   ;fecha           
191,8;1997-10-17 08:00:00;1997-10-17 00:00:00
190,026;1997-10-18 08:00:00;1997-10-18 00:00:00
188,263;1997-10-19 08:00:00;1997-10-19 00:00:00
186,16;1997-10-20 08:00:00;1997-10-20 00:00:00
184,186;1997-10-21 08:00:00;1997-10-21 00:00:00
182,34;1997-10-22 08:00:00;1997-10-22 00:00:00
180,733;1997-10-23 08:00:00;1997-10-23 00:00:00
179,135;1997-10-24 08:00:00;1997-10-24 00:00:00
177,319;1997-10-25 08:00:00;1997-10-25 00:00:00
175,626;1997-10-26 08:00:00;1997-10-26 00:00:00
173,719;1997-10-27 08:00:00;1997-10-27 00:00:00
171,824;1997-10-28 08:00:00;1997-10-28 00:00:00
169,941;1997-10-29 08:00:00;1997-10-29 00:00:00
168,179;1997-10-30 08:00:00;1997-10-30 00:00:00
166,211;1997-10-31 08:00:00;1997-10-31 00:00:00
165,014;1997-11-01 08:00:00;1997-11-01 00:00:00
164,797;1997-11-02 08:00:00;1997-11-02 00:00:00
164,364;1997-11-03 08:00:00;1997-11-03 00:00:00
164,147;1997-11-04 08:00:00;1997-11-04 00:00:00
164,039;1997-11-05 08:00:00;1997-11-05 00:00:00
165,123;1997-11-06 08:00:00;1997-11-06 00:00:00
185,81;1997-11-07 08:00:00;1997-11-07 00:00:00
192,037;1997-11-08 08:00:00;1997-11-08 00:00:00
198,748;1997-11-09 08:00:00;1997-11-09 00:00:00
210,076;1997-11-10 08:00:00;1997-11-10 00:00:00
214,739;1997-11-11 08:00:00;1997-11-11 00:00:00
225,692;1997-11-12 08:00:00;1997-11-12 00:00:00
230,299;1997-11-13 08:00:00;1997-11-13 00:00:00
233,226;1997-11-14 08:00:00;1997-11-14 00:00:00
235,772;1997-11-15 08:00:00;1997-11-15 00:00:00
238,47;1997-11-16 08:00:00;1997-11-16 00:00:00
240,643;1997-11-17 08:00:00;1997-11-17 00:00:00
242,692;1997-11-18 08:00:00;1997-11-18 00:00:00
245,855;1997-11-19 08:00:00;1997-11-19 00:00:00
249,322;1997-11-20 08:00:00;1997-11-20 00:00:00
251,418;1997-11-21 08:00:00;1997-11-21 00:00:00
252,821;1997-11-22 08:00:00;1997-11-22 00:00:00
253,806;1997-11-23 08:00:00;1997-11-23 00:00:00
254,511;1997-11-24 08:00:00;1997-11-24 00:00:00
255,643;1997-11-25 08:00:00;1997-11-25 00:00:00
256,635;1997-11-26 08:00:00;1997-11-26 00:00:00
258,342;1997-11-27 08:00:00;1997-11-27 00:00:00
259,77;1997-11-28 08:00:00;1997-11-28 00:00:00
316,755;1997-12-14 08:00:00;1997-12-14 00:00:00
318,068;1997-12-15 08:00:00;1997-12-15 00:00:00
319,385;1997-12-16 08:00:00;1997-12-16 00:00:00
326,698;1997-12-17 08:00:00;1997-12-17 00:00:00
378,626;1997-12-18 08:00:00;1997-12-18 00:00:00
407,385;1997-12-19 08:00:00;1997-12-19 00:00:00
388,854;1997-12-20 08:00:00;1997-12-20 00:00:00
366,598;1997-12-21 08:00:00;1997-12-21 00:00:00
353,622;1997-12-22 08:00:00;1997-12-22 00:00:00
350,08;1997-12-23 08:00:00;1997-12-23 00:00:00
348,671;1997-12-24 08:00:00;1997-12-24 00:00:00
348,144;1997-12-25 08:00:00;1997-12-25 00:00:00
349,551;1997-12-26 08:00:00;1997-12-26 00:00:00
350,963;1997-12-27 08:00:00;1997-12-27 00:00:00
353,266;1997-12-28 08:00:00;1997-12-28 00:00:00
355,224;1997-12-29 08:00:00;1997-12-29 00:00:00
356,412;1997-12-30 08:00:00;1997-12-30 00:00:00
357,369;1997-12-31 08:00:00;1997-12-31 00:00:00
366,05;1998-01-01 08:00:00;1998-01-01 00:00:00
373,407;1998-01-02 08:00:00;1998-01-02 00:00:00
379,752;1998-01-03 08:00:00;1998-01-03 00:00:00
385,421;1998-01-04 08:00:00;1998-01-04 00:00:00
386,943;1998-01-05 08:00:00;1998-01-05 00:00:00
383,334;1998-01-06 08:00:00;1998-01-06 00:00:00
378,626;1998-01-07 08:00:00;1998-01-07 00:00:00
374,521;1998-01-08 08:00:00;1998-01-08 00:00:00
370,819;1998-01-09 08:00:00;1998-01-09 00:00:00
367,695;1998-01-10 08:00:00;1998-01-10 00:00:00
364,592;1998-01-11 08:00:00;1998-01-11 00:00:00
363,683;1998-01-12 08:00:00;1998-01-12 00:00:00
362,776;1998-01-13 08:00:00;1998-01-13 00:00:00
364,537;1998-01-14 08:00:00;1998-01-14 00:00:00
366,78;1998-01-15 08:00:00;1998-01-15 00:00:00
368,282;1998-01-16 08:00:00;1998-01-16 00:00:00
369,99;1998-01-17 08:00:00;1998-01-17 00:00:00
371,927;1998-01-18 08:00:00;1998-01-18 00:00:00
373,407;1998-01-19 08:00:00;1998-01-19 00:00:00
382,918;1998-01-20 08:00:00;1998-01-20 00:00:00
390,81;1998-01-21 08:00:00;1998-01-21 00:00:00
390,196;1998-01-22 08:00:00;1998-01-22 00:00:00
387,898;1998-01-23 08:00:00;1998-01-23 00:00:00
387,287;1998-01-24 08:00:00;1998-01-24 00:00:00
386,41;1998-01-25 08:00:00;1998-01-25 00:00:00
385,801;1998-01-26 08:00:00;1998-01-26 00:00:00
384,946;1998-01-27 08:00:00;1998-01-27 00:00:00
384,851;1998-01-28 08:00:00;1998-01-28 00:00:00
383,713;1998-01-29 08:00:00;1998-01-29 00:00:00
384,471;1998-01-30 08:00:00;1998-01-30 00:00:00
385,269;1998-01-31 08:00:00;1998-01-31 00:00:00
398,52;1998-02-11 08:00:00;1998-02-11 00:00:00
399,497;1998-02-12 08:00:00;1998-02-12 00:00:00
400,476;1998-02-13 08:00:00;1998-02-13 00:00:00
401,458;1998-02-14 08:00:00;1998-02-14 00:00:00
401,851;1998-02-15 08:00:00;1998-02-15 00:00:00
402,244;1998-02-16 08:00:00;1998-02-16 00:00:00
402,834;1998-02-17 08:00:00;1998-02-17 00:00:00
404,018;1998-02-18 08:00:00;1998-02-18 00:00:00
405,402;1998-02-19 08:00:00;1998-02-19 00:00:00
406,393;1998-02-20 08:00:00;1998-02-20 00:00:00
407,584;1998-02-21 08:00:00;1998-02-21 00:00:00
408,38;1998-02-22 08:00:00;1998-02-22 00:00:00
410,176;1998-02-23 08:00:00;1998-02-23 00:00:00
411,578;1998-02-24 08:00:00;1998-02-24 00:00:00
412,581;1998-02-25 08:00:00;1998-02-25 00:00:00
413,586;1998-02-26 08:00:00;1998-02-26 00:00:00
414,795;1998-02-27 08:00:00;1998-02-27 00:00:00
415,401;1998-02-28 08:00:00;1998-02-28 00:00:00
416,008;1998-03-01 08:00:00;1998-03-01 00:00:00
417,223;1998-03-02 08:00:00;1998-03-02 00:00:00
418,44;1998-03-03 08:00:00;1998-03-03 00:00:00
419,458;1998-03-04 08:00:00;1998-03-04 00:00:00
420,477;1998-03-05 08:00:00;1998-03-05 00:00:00
421,703;1998-03-06 08:00:00;1998-03-06 00:00:00
422,727;1998-03-07 08:00:00;1998-03-07 00:00:00
423,958;1998-03-08 08:00:00;1998-03-08 00:00:00
425,398;1998-03-09 08:00:00;1998-03-09 00:00:00
426,843;1998-03-10 08:00:00;1998-03-10 00:00:00
427,256;1998-03-11 08:00:00;1998-03-11 00:00:00
428,914;1998-03-12 08:00:00;1998-03-12 00:00:00
430,16;1998-03-13 08:00:00;1998-03-13 00:00:00
430,576;1998-03-14 08:00:00;1998-03-14 00:00:00
430,785;1998-03-15 08:00:00;1998-03-15 00:00:00
430,785;1998-03-16 08:00:00;1998-03-16 00:00:00
430,16;1998-03-17 08:00:00;1998-03-17 00:00:00
429,537;1998-03-18 08:00:00;1998-03-18 00:00:00
428,292;1998-03-19 08:00:00;1998-03-19 00:00:00
426,843;1998-03-20 08:00:00;1998-03-20 00:00:00
425,605;1998-03-21 08:00:00;1998-03-21 00:00:00
424,164;1998-03-22 08:00:00;1998-03-22 00:00:00
422,522;1998-03-23 08:00:00;1998-03-23 00:00:00
420,885;1998-03-24 08:00:00;1998-03-24 00:00:00
419,051;1998-03-25 08:00:00;1998-03-25 00:00:00
417,223;1998-03-26 08:00:00;1998-03-26 00:00:00
415,199;1998-03-27 08:00:00;1998-03-27 00:00:00
